"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"ANTIMONY AND ANTIMONY COMPOUNDS","ANTIMONY BUTTER","10025-91-9"
"ANTIMONY AND ANTIMONY COMPOUNDS","ANTIMONY COMPD. WITH INDIUM (1:1)","1312-41-0"
"ANTIMONY AND ANTIMONY COMPOUNDS","ANTIMONY PENTASULFIDE","1315-04-4"
"ANTIMONY AND ANTIMONY COMPOUNDS","ANTIMONY-SULPHIDE","1345-04-6"
"ANTIMONY AND ANTIMONY COMPOUNDS","ANTIMONY-TRIFLUORIDE","7783-56-4"
"ANTIMONY AND ANTIMONY COMPOUNDS","Antimony","7440-36-0"
"ANTIMONY AND ANTIMONY COMPOUNDS","Antimony trioxide","1309-64-4"
"ANTIMONY AND ANTIMONY COMPOUNDS","DIANTIMONY-PENTOXIDE","1314-60-9"
"ANTIMONY AND ANTIMONY COMPOUNDS","GALLIUM ANTIMONIDE","12064-03-8"
"AROMATIC AMINES AND DYES","3,3'-dimethylbenzidine","119-93-0"
"AROMATIC AMINES AND DYES","O-TOLUIDINE SALTS","3165-93-3"
"ARSENIC AND ARSENIC COMPOUNDS","ARSENIC ACID (H3AS04), TRIETHYL ESTER","15606-95-8"
"ARSENIC AND ARSENIC COMPOUNDS","ARSENIC PENTASULFIDE","1303-34-0"
"ARSENIC AND ARSENIC COMPOUNDS","ARSENIC TRISULFIDE","1303-33-9"
"ARSENIC AND ARSENIC COMPOUNDS","ARSENIC-ACID","7778-39-4"
"ARSENIC AND ARSENIC COMPOUNDS","Arsenic","7440-38-2"
"ARSENIC AND ARSENIC COMPOUNDS","CALCIUM-ARSENATE","7778-44-1"
"ASBESTOS AND ASBESTOS COMPOUNDS","AMORPHOUS CROCIDOLITE ASBESTOS","12001-28-4"
"ASBESTOS AND ASBESTOS COMPOUNDS","AMOSITE ASBESTOS","12172-73-5"
"ASBESTOS AND ASBESTOS COMPOUNDS","ANTHOPHYLLITE ASBESTOS","17068-78-9"
"ASBESTOS AND ASBESTOS COMPOUNDS","ASBESTOS, ACTINOLITE","77536-66-4"
"ASBESTOS AND ASBESTOS COMPOUNDS","ASBESTOS, CROCIDOLITE","132207-33-1"
"ASBESTOS AND ASBESTOS COMPOUNDS","ASBESTOS, CRYSOTIL","132207-32-0"
"ASBESTOS AND ASBESTOS COMPOUNDS","ASBESTOS, TREMOLITE","77536-68-6"
"ASBESTOS AND ASBESTOS COMPOUNDS","ASBESTOS, UNSPECIFIED","1332-21-4"
"ASBESTOS AND ASBESTOS COMPOUNDS","Asbestos","77536-67-5"
"ASBESTOS AND ASBESTOS COMPOUNDS","Chrysotile","12001-29-5"
"ASBESTOS AND ASBESTOS COMPOUNDS","FERROACTINOLYTE","13768-00-8"
"AZO DYES","(CHROMATE(5-),BIS[5-[(4-AMINO-6-CHLORO-1,3,5-TRIAZIN-2-YL)AMINO]-4-(HYDROXY-KO)-3-[2-[2-(HYDROXY-KO)-5-NITROPHENYL]DIAZENYL-KN1]-2,7-NAPHTHALENEDISULFONATO(4-)]-,SODIUM HYDROGEN (1:4:1) )","70776-54-4"
"AZO DYES","1-(2-CHLORO-4-NITROPHENYLAZO)-2-NAPHTHOL","2814-77-9"
"AZO DYES","1-(4-METHYL-2-NITROPHENYLAZO)-2-NAPHTHOL","2425-85-6"
"AZO DYES","1-AZA-2,4-CYCLOPENTADIENE","109-97-7"
"AZO DYES","1-PHENYLAZO-2-NAPHTHOL","842-07-9"
"AZO DYES","1-[(2,4-DINITROPHENYL)AZO]-2-NAPHTHOL","3468-63-1"
"AZO DYES","1-[[4-[(DIMETHYLPHENYL)AZO]DIMETHYLPHENYL]AZO]-2-NAPHTHOL","1320-06-5"
"AZO DYES","2'-((2-BROMO-4,6-DINITROPHENYL)AZO)-5'-(DIETHYLAMINO)-P-ACETANISIDIDE","56548-64-2"
"AZO DYES","2,2'-AZOBIS[2,4-DIMETHYLVALERONITRILE]","4419-11-8"
"AZO DYES","2,2'-DIMETHYL-2,2'-AZODIPROPIONONITRILE","78-67-1"
"AZO DYES","2,2'-[(3,3'-DICHLORO[1,1'-BIPHENYL]-4,4'-DIYL)BIS(AZO)]BIS[N-(4-CHLO...","5567-15-7"
"AZO DYES","2,2'-[ETHYLENEBIS(OXYPHENYL-2,1-ENEAZO)]BIS[N-(2,3-DIHYDRO-2-OXO-1H-...","77804-81-0"
