"SUBSTANCE_GROUP","SUBSTANCE","SUBSTANCE_CAS"
"","graphite","7782-42-5"
"","Agglomerierte gold","7440-57-5"
"","Carbon Black","1333-86-4"
"","Fused Silica","60676-86-0"
"","Sn","7440-31-5"
"","Ag","7440-22-4"
"","Si","7440-21-3"
"","Shg Zinc","7440-66-6"
"","Al","7429-90-5"
"","Boron","7440-42-8"
"","BISPHENOL A EPOXY RESINS","61788-97-4"
"","calcium sodium borosilicate","65997-17-3"
"","PRASEODYM","7440-10-0"
"","Fe","7439-89-6"
"","Polyamide","63428-84-2"
"","C.I.pigment white 6","13463-67-7"
"","Alumina trihydrate","21645-51-2"
"","Crystalline silica","14808-60-7"
"","1-BUTANONE, 2-(DIMETHYLAMINO)-1-(4-(4-MORPHOLINYL)PHENYL)-2-(PHENYLM...","119313-12-1"
"","2-(HYDROXYMETHYL)-2-[[(1-OXOALLYL)OXY]METHYL]-1,3-PROPANEDIYL DIACRY...","3524-68-3"
"","2-ETHYL-2-[[(1-OXOALLYL)OXY]METHYL]-1,3-PROPANEDIYL DIACRYLATE","15625-89-5"
"","2-Methyl-4'-(methylthio)-2-morpholinopropiophenone","71868-10-5"
"","PHOSPHINE OXIDE, PHENYLBIS(2,4,6-TRIMETHYLBENZOYL)-","162881-26-7"
"","2,2-Bis[[(1-oxoallyl)oxy]methyl]-1,3-propanediyl diacrylate","4986-89-4"
"","DIPHENYL(2,4,6-TRIMETHYLBENZOYL)PHOSPHINE OXIDE","75980-60-8"
"","1-PHENYL-2-HYDROXY-2-METHYLPROPAN-1-ONE","7473-98-5"
"","Copper","7440-50-8"
"","Misc., not to declare","MISC"
"","graphite","7782-42-5"
"","Agglomerierte gold","7440-57-5"
"","Carbon Black","1333-86-4"
"","Fused Silica","60676-86-0"
"","Sn","7440-31-5"
"","Ag","7440-22-4"
"","Si","7440-21-3"
"","Shg Zinc","7440-66-6"
"","Chromium","7440-47-3"
"","Al","7429-90-5"
"","Arsenic","7440-38-2"
"","Boron","7440-42-8"
"","Ni","7440-02-0"
"","BISPHENOL A EPOXY RESINS","61788-97-4"
"","calcium sodium borosilicate","65997-17-3"
"","BISPHENOL A, EPICHLOROHYDRIN, TETRABROMOBISPHENOL A POLYMER","26265-08-7"
"","PRASEODYM","7440-10-0"
"","Fe","7439-89-6"
"","Polyamide","63428-84-2"
"","C.I.pigment white 6","13463-67-7"
"","Alumina trihydrate","21645-51-2"
"","BUTYNORATE","77-58-7"
"","Crystalline silica","14808-60-7"
"","1-BUTANONE, 2-(DIMETHYLAMINO)-1-(4-(4-MORPHOLINYL)PHENYL)-2-(PHENYLM...","119313-12-1"
"","2-(HYDROXYMETHYL)-2-[[(1-OXOALLYL)OXY]METHYL]-1,3-PROPANEDIYL DIACRY...","3524-68-3"
"","2-ETHYL-2-[[(1-OXOALLYL)OXY]METHYL]-1,3-PROPANEDIYL DIACRYLATE","15625-89-5"
